State,Year,Illnesses,Hospitalizations,Fatalities,Illnesses_log,time zone,Cluster
Hawaii,2000,1112,4.0,0.0,4.9344739331306915,HSTZ,2
Idaho,2000,580,2.0,0.0,4.060443010546419,MTZ,2
Illinois,2000,4380,28.0,1.0,6.9985096422506015,CTZ,1
Indiana,2000,2400,9.0,0.0,5.991464547107982,ETZ,0
Kansas,2000,350,2.0,0.0,3.5553480614894135,MTZ,2
Kentucky,2000,84,5.0,0.0,2.6390573296152584,ETZ,2
Louisiana,2000,452,0.0,0.0,4.727387818712341,CTZ,2
Maine,2000,330,2.0,0.0,4.007333185232471,ETZ,2
Maryland,2000,4392,6.0,0.0,6.595780513961311,ETZ,3
Massachusetts,2000,174,0.0,0.0,3.367295829986474,ETZ,2
Michigan,2000,3330,17.0,0.0,6.318968113746434,ETZ,5
Minnesota,2000,3004,17.0,0.0,6.621405651764134,CTZ,3
Mississippi,2000,484,7.0,0.0,4.795790545596741,CTZ,2
Missouri,2000,428,4.0,0.0,4.672828834461906,CTZ,2
Montana,2000,820,3.0,0.0,4.406719247264253,MTZ,2
Nebraska,2000,390,0.0,0.0,3.6635616461296463,MTZ,2
New Jersey,2000,354,10.0,0.0,4.07753744390572,ETZ,2
New Mexico,2000,320,2.0,0.0,3.4657359027997265,MTZ,2
New York,2000,660,10.0,0.0,4.700480365792417,ETZ,2
Ohio,2000,4902,32.0,1.0,6.705639094860003,ETZ,3
Oklahoma,2000,160,3.0,0.0,3.6888794541139363,CTZ,2
Oregon,2000,5130,7.0,0.0,6.240275845170769,MTZ,5
Pennsylvania,2000,5268,37.0,0.0,6.777646593635117,ETZ,3
South Carolina,2000,714,1.0,0.0,4.77912349311153,ETZ,2
South Dakota,2000,950,13.0,2.0,4.553876891600541,MTZ,2
Tennessee,2000,4620,49.0,0.0,6.646390514847729,ETZ,3
Texas,2000,2780,0.0,0.0,5.627621113690637,MTZ,0
Utah,2000,280,2.0,0.0,3.332204510175204,MTZ,2
